"municipio";"codigo_ibge";"ano";"grande_grupo";"familia_ocupacional";"ocupacao";"codigo_cbo";"empregados";"percentual";"salario_medio";"salario_mediano"
"Blumenau";"4202404";"2025";"Trabalhadores De Serviços Administrativos";"Agentes, assistentes e auxiliares administrativos";"Assistente Administrativo";"411010";"6700";"4,3320";"3412,42";"2857,22"
"Blumenau";"4202404";"2025";"Trabalhadores De Serviços Administrativos";"Agentes, assistentes e auxiliares administrativos";"Auxiliar De Escritório";"411005";"5801";"3,7507";"2378,64";"2157,04"
"Blumenau";"4202404";"2025";"Trabalhadores Dos Serviços, Vendedores Do Comércio Em Lojas E Mercados";"Operadores do comércio em lojas e mercados";"Vendedor De Comércio Varejista";"521110";"5140";"3,3233";"3499,18";"2744,37"
"Blumenau";"4202404";"2025";"Trabalhadores Da Produção De Bens E Serviços Industriais";"Alimentadores de linhas de produção";"Alimentador De Linha De Produção";"784205";"4491";"2,9037";"2492,91";"2332,15"
"Blumenau";"4202404";"2025";"Trabalhadores Dos Serviços, Vendedores Do Comércio Em Lojas E Mercados";"Trabalhadores nos  serviços de manutenção de edificações";"Faxineiro";"514320";"4268";"2,7595";"2052,53";"2030,3"
"Blumenau";"4202404";"2025";"Trabalhadores Da Produção De Bens E Serviços Industriais";"Trabalhadores de cargas e descargas de mercadorias";"Carregador (Armazém)";"783210";"4157";"2,6878";"2184,05";"2020,95"
"Blumenau";"4202404";"2025";"Profissionais Das Ciências E Das Artes";"Professores de nível superior do ensino fundamental (primeira a quarta séries)";"Professor De Nível Superior Do Ensino Fundamental (Primeira A Quarta Série)";"231210";"2800";"1,8104";"5757,6";"5385,14"
"Blumenau";"4202404";"2025";"Trabalhadores De Serviços Administrativos";"Caixas e bilheteiros (exceto caixa de banco)";"Operador De Caixa";"421125";"2619";"1,6933";"2318,95";"2310,98"
"Blumenau";"4202404";"2025";"Técnicos De Nivel Médio";"Técnicos e auxiliares de enfermagem";"Técnico De Enfermagem";"322205";"2291";"1,4813";"4565,91";"4073,57"
"Blumenau";"4202404";"2025";"Trabalhadores De Serviços Administrativos";"Almoxarifes e armazenistas";"Almoxarife";"414105";"1975";"1,2770";"2725,27";"2506,03"
"Blumenau";"4202404";"2025";"Trabalhadores Da Produção De Bens E Serviços Industriais";"Motoristas de veículos de cargas em geral";"Motorista De Caminhão (Rotas Regionais E Internacionais)";"782510";"1937";"1,2524";"3686,63";"3440,27"
"Blumenau";"4202404";"2025";"Técnicos De Nivel Médio";"Técnicos de desenvolvimento de sistemas e aplicações";"Desenvolvedor De Sistemas De Tecnologia Da Informação (Técnico)";"317110";"1890";"1,2220";"6389,98";"5889,31"
"Blumenau";"4202404";"2025";"Trabalhadores Dos Serviços, Vendedores Do Comércio Em Lojas E Mercados";"Operadores do comércio em lojas e mercados";"Atendente De Lojas E Mercados";"521140";"1880";"1,2155";"2197,05";"2167,65"
"Blumenau";"4202404";"2025";"Profissionais Das Ciências E Das Artes";"Analistas de tecnologia da informação";"Analista De Desenvolvimento De Sistemas";"212405";"1807";"1,1683";"9717,93";"9294,71"
"Blumenau";"4202404";"2025";"Trabalhadores Da Produção De Bens E Serviços Industriais";"Operadores de máquinas para costura de peças do vestuário";"Costureiro Na Confecção Em Série";"763210";"1668";"1,0785";"2588,74";"2552,55"
"Blumenau";"4202404";"2025";"Trabalhadores Dos Serviços, Vendedores Do Comércio Em Lojas E Mercados";"Operadores do comércio em lojas e mercados";"Repositor De Mercadorias";"521125";"1643";"1,0623";"1955,92";"2081,03"
"Blumenau";"4202404";"2025";"Trabalhadores Dos Serviços, Vendedores Do Comércio Em Lojas E Mercados";"Cozinheiros";"Cozinheiro Geral";"513205";"1548";"1,0009";"2293,49";"2225,07"
"Blumenau";"4202404";"2025";"Técnicos De Nivel Médio";"Especialistas em promoção de produtos e vendas";"Assistente De Vendas";"354125";"1543";"0,9976";"3287,27";"2774,71"
